	phylum	class	order	family	genus	species	taxon
4306	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma sp. (ex Biomphalaria glabrata)	Mycoplasma sp. (ex Biomphalaria glabrata)
4859	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae			Halanaerobiaceae
4881	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Thermincola	Thermincola potens	Thermincola potens JR
4972	Chloroflexi <phylum>	Chloroflexia	Chloroflexales				Chloroflexales
4995	Chloroflexi <phylum>	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	Caldilinea aerophila	Caldilinea aerophila DSM 14535 = NBRC 104270
4999	Chloroflexi <phylum>	Anaerolineae	Anaerolineales	Anaerolineaceae	Brevefilum	Brevefilum fermentans	Brevefilum fermentans
5000	Chloroflexi <phylum>	Anaerolineae	Anaerolineales	Anaerolineaceae			Anaerolineaceae
5003	Chloroflexi <phylum>	Anaerolineae	Anaerolineales	Anaerolineaceae			Anaerolineaceae
5006	Chloroflexi <phylum>						Chloroflexi <phylum>
5050	Actinobacteria <phylum>	Coriobacteriia					Coriobacteriia
5051	Actinobacteria <phylum>	Actinobacteria <class>				Actinobacteria bacterium IMCC26256	Actinobacteria bacterium IMCC26256
5052	Actinobacteria <phylum>	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans	Acidimicrobium ferrooxidans DSM 10331
5053	Actinobacteria <phylum>						Actinobacteria <phylum>
5054	Actinobacteria <phylum>	Nitriliruptoria	Egicoccales	Egicoccaceae	Egicoccus	Egicoccus halophilus	Egicoccus halophilus
5369	Actinobacteria <phylum>	Actinobacteria <class>	Candidatus Nanopelagicales	Candidatus Nanopelagicaceae	Candidatus Planktophila	Candidatus Planktophila vernalis	Candidatus Planktophila vernalis
5371	Actinobacteria <phylum>						Actinobacteria <phylum>
5378	Actinobacteria <phylum>					Actinobacteria bacterium IMCC25003	Actinobacteria bacterium IMCC25003
5389	Actinobacteria <phylum>						Actinobacteria <phylum>
5836	Actinobacteria <phylum>	Actinobacteria <class>	Micrococcales	Microbacteriaceae	Pontimonas	Pontimonas salivibrio	Pontimonas salivibrio
5838	Actinobacteria <phylum>	Actinobacteria <class>	Micrococcales	Microbacteriaceae	Rhodoluna	Rhodoluna lacicola	Rhodoluna lacicola
6462	Actinobacteria <phylum>	Actinobacteria <class>	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium hassiacum	Mycolicibacterium hassiacum DSM 44199
6603	Actinobacteria <phylum>	Actinobacteria <class>	Acidothermales	Acidothermaceae	Acidothermus	Acidothermus cellulolyticus	Acidothermus cellulolyticus 11B
6618	Actinobacteria <phylum>						Actinobacteria <phylum>
6619	Actinobacteria <phylum>	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter woesei	Conexibacter woesei DSM 14684
6638	Gemmatimonadetes <phylum>	Gemmatimonadetes <class>	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas		Gemmatimonas
6639							FCB group
6640	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix	Caldithrix abyssi	Caldithrix abyssi DSM 13497
6686	Bacteroidetes <phylum>		Bacteroidetes Order II. Incertae sedis	Rhodothermaceae			unclassified Rhodothermaceae
6688	Bacteroidetes <phylum>		Bacteroidetes Order II. Incertae sedis	Rhodothermaceae			Rhodothermaceae
6689	Balneolaeota				Candidatus Cyclonatronum	Candidatus Cyclonatronum proteinivorum	Candidatus Cyclonatronum proteinivorum
6690	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	Owenweeksia hongkongensis	Owenweeksia hongkongensis DSM 17368
6693							Bacteria <prokaryotes>
