Sample,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
171116_18,1.772226808,0.991622908,1.816878384,1.538474478,3055.481447,1592.940295,3477666.612,1980303.194,49.07885848,13.57825613,0.426358078,0.110823269,0.484522808,0.146470189
171118_1,1.745395366,0.947048862,1.934488202,1.67949293,3007.817331,1656.180236,3418335.711,2056275.504,48.62404462,13.9997834,0.435702497,0.111350473,0.499702816,0.144896471
171125_13,1.368340222,0.785341633,1.308925536,0.887945844,2554.317587,1487.608155,2869523.182,1835672.755,47.60349531,13.87765738,0.451136757,0.097406106,0.505987316,0.125154664
171121_5,1.704386626,0.943540856,1.864232478,1.450859061,2925.007045,1700.724664,3321750.623,2156870.01,47.08451863,15.05205955,0.447383466,0.110522337,0.505623227,0.138757844
171117_9,1.936659168,1.071801913,2.02687678,1.873272171,3308.660111,1891.292474,3838103.67,2401494.711,48.68888218,12.23594958,0.417097107,0.113799793,0.493442174,0.15684131
171119_6,1.887632919,0.92425528,2.111189082,1.711367646,3457.784907,1992.952861,4195928.338,2805747.551,46.45716668,13.10126185,0.434792987,0.112073679,0.486220299,0.138192682
171117_16,1.931048377,1.144235741,1.959290671,2.025428017,3186.813705,2062.706375,3701952.021,2619915.961,48.58528132,12.92685149,0.419144272,0.122928725,0.47723026,0.159860061
171126_8,1.648789157,0.981422215,1.583072037,1.330117548,2736.234246,1435.546911,3010050.587,1743220.666,47.81727508,14.06705815,0.442524619,0.093642061,0.510924965,0.132452395
171118_16,1.644917144,0.864572081,1.608831601,1.311970154,2628.016035,1622.160932,2983372.831,2086412.081,45.59569308,15.65020439,0.441785736,0.125626956,0.495776004,0.153943149
171125_18,1.394577345,0.799428073,1.37791497,0.993582857,2690.678959,1549.73732,3013006.143,1886564.173,47.82894865,13.95068163,0.456320698,0.089647235,0.511424805,0.117849135
171117_8,1.968740857,1.153491605,2.05893915,2.099539871,3300.847691,2105.252056,3844196.361,2688559.738,49.15790355,12.70515602,0.424287085,0.118281739,0.481400144,0.15422086
171120_15,1.786109874,0.997633564,2.060957451,1.780359642,3134.841984,1853.530744,3579886.981,2318361.854,47.23049647,13.69337803,0.432101603,0.105478324,0.506601039,0.142013025
171126_12,1.475691752,0.979186983,1.632359504,1.225430144,2991.082262,1503.669869,3297546.742,1789380.103,49.68697681,13.84559931,0.450281825,0.079200576,0.517275998,0.116870772
171117_17,1.947001195,1.173045595,1.996305023,2.093746244,3191.092365,2117.548876,3682983.874,2695995.597,48.87694237,13.37107224,0.43101478,0.118302469,0.480993893,0.149594796
171117_20,1.883917343,0.947265889,2.138075523,1.949158432,3288.029173,1751.481372,3715060.902,2185205.885,50.03386586,12.62871642,0.434866552,0.097177108,0.505339055,0.13564101
